COP21    2016-01-06
save TW:684524756746420224  Thu Jan 14 17:17:42 CST 2016
save TW:684524751155531777  Thu Jan 14 17:17:42 CST 2016
save TW:684524516282781696  Thu Jan 14 17:17:42 CST 2016
save TW:684524457545760768  Thu Jan 14 17:17:43 CST 2016
save TW:684524287940767745  Thu Jan 14 17:17:43 CST 2016
save TW:684524197733859328  Thu Jan 14 17:17:43 CST 2016
save TW:684524140364181505  Thu Jan 14 17:17:43 CST 2016
save TW:684524085901156352  Thu Jan 14 17:17:43 CST 2016
save TW:684524052153667589  Thu Jan 14 17:17:43 CST 2016
save TW:684524030083203073  Thu Jan 14 17:17:43 CST 2016
save TW:684523925452263424  Thu Jan 14 17:17:43 CST 2016
save TW:684523922436534272  Thu Jan 14 17:17:43 CST 2016
save TW:684523868455841793  Thu Jan 14 17:17:44 CST 2016
save TW:684523763145125889  Thu Jan 14 17:17:44 CST 2016
save TW:684523758116159488  Thu Jan 14 17:17:44 CST 2016
save TW:684523748238602240  Thu Jan 14 17:17:58 CST 2016
save TW:684523677061398528  Thu Jan 14 17:17:58 CST 2016
save TW:684523643053944832  Thu Jan 14 17:17:58 CST 2016
save TW:684523618328555520  Thu Jan 14 17:17:58 CST 2016
save TW:684523614922764290  Thu Jan 14 17:17:58 CST 2016
save TW:684523362324971520  Thu Jan 14 17:17:58 CST 2016
save TW:684523334562779136  Thu Jan 14 17:17:58 CST 2016
save TW:684523256955682816  Thu Jan 14 17:17:58 CST 2016
save TW:684523245933060096  Thu Jan 14 17:17:58 CST 2016
save TW:684523181755990017  Thu Jan 14 17:17:59 CST 2016
